mesh_term,primary_category,category_label
2-Pyridinylmethylsulfinylbenzimidazoles,digestive_liver,Digestive System & Liver
AMP-Activated Protein Kinases,heart_blood_vessels,Heart & Blood Vessels
APACHE,emergency_critical_care,Emergency & Critical Care
Abbreviated Injury Scale,emergency_critical_care,Emergency & Critical Care
Abdomen,medications_drug_safety,Medications & Drug Safety
Abdominal Abscess,infections,Infections & Infectious Disease
Abdominal Fat,medications_drug_safety,Medications & Drug Safety
Abdominal Injuries,emergency_critical_care,Emergency & Critical Care
Abdominal Pain,dental_oral,Dental & Oral Health
Abdominal Wall,medications_drug_safety,Medications & Drug Safety
"Abortifacient Agents, Nonsteroidal",womens_reproductive,Women's & Reproductive Health
"Abortion, Eugenic",womens_reproductive,Women's & Reproductive Health
"Abortion, Habitual",womens_reproductive,Women's & Reproductive Health
"Abortion, Induced",womens_reproductive,Women's & Reproductive Health
"Abortion, Spontaneous",womens_reproductive,Women's & Reproductive Health
Absorbable Implants,infections,Infections & Infectious Disease
"Absorptiometry, Photon",bones_joints_muscles,"Bones, Joints & Muscles"
Academic Medical Centers,childrens_health,Children's Health
Acceleration,childrens_health,Children's Health
Access to Information,emergency_critical_care,Emergency & Critical Care
Accidental Falls,childrens_health,Children's Health
"Accidents, Home",emergency_critical_care,Emergency & Critical Care
"Accidents, Occupational",emergency_critical_care,Emergency & Critical Care
"Accidents, Traffic",medications_drug_safety,Medications & Drug Safety
Acclimatization,medications_drug_safety,Medications & Drug Safety
Accreditation,medications_drug_safety,Medications & Drug Safety
Acetabulum,bones_joints_muscles,"Bones, Joints & Muscles"
Acetaminophen,mental_health,Mental Health
Acetylcysteine,medications_drug_safety,Medications & Drug Safety
Acetylglucosaminidase,kidney_urinary,Kidney & Urinary Health
Achievement,medications_drug_safety,Medications & Drug Safety
Achilles Tendon,bones_joints_muscles,"Bones, Joints & Muscles"
Acid-Base Imbalance,brain_nervous_system,Brain & Nervous System
Acidosis,womens_reproductive,Women's & Reproductive Health
Acoustic Stimulation,womens_reproductive,Women's & Reproductive Health
Acoustics,emergency_critical_care,Emergency & Critical Care
Acquired Immunodeficiency Syndrome,infections,Infections & Infectious Disease
Actin Cytoskeleton,brain_nervous_system,Brain & Nervous System
Action Potentials,heart_blood_vessels,Heart & Blood Vessels
Activities of Daily Living,medications_drug_safety,Medications & Drug Safety
Acupuncture Therapy,emergency_critical_care,Emergency & Critical Care
Acute Coronary Syndrome,heart_blood_vessels,Heart & Blood Vessels
Acute Disease,digestive_liver,Digestive System & Liver
Acute-Phase Reaction,kidney_urinary,Kidney & Urinary Health
Acyclovir,infections,Infections & Infectious Disease
"Adaptation, Psychological",mental_health,Mental Health
Adenocarcinoma,cancer,Cancer
"Adenocarcinoma, Mucinous",cancer,Cancer
Adenoidectomy,childrens_health,Children's Health
Adenolymphoma,cancer,Cancer
Adenoma,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Adenoma, Pleomorphic",cancer,Cancer
Adenomatous Polyposis Coli,cancer,Cancer
Adenomatous Polyps,digestive_liver,Digestive System & Liver
Adhesives,digestive_liver,Digestive System & Liver
Adipose Tissue,medications_drug_safety,Medications & Drug Safety
"Adjuvants, Anesthesia",childrens_health,Children's Health
"Adjuvants, Immunologic",childrens_health,Children's Health
"Administration, Cutaneous",skin_dermatology,Skin & Dermatology
"Administration, Inhalation",childrens_health,Children's Health
"Administration, Intravenous",cancer,Cancer
"Administration, Oral",breathing_lungs,Breathing & Lungs
"Administration, Topical",brain_nervous_system,Brain & Nervous System
Administrative Personnel,medications_drug_safety,Medications & Drug Safety
Adolescent,childrens_health,Children's Health
Adolescent Behavior,childrens_health,Children's Health
Adrenal Cortex Hormones,womens_reproductive,Women's & Reproductive Health
Adrenal Gland Neoplasms,kidney_urinary,Kidney & Urinary Health
Adrenalectomy,kidney_urinary,Kidney & Urinary Health
Adrenergic Agonists,heart_blood_vessels,Heart & Blood Vessels
Adrenergic beta-Antagonists,heart_blood_vessels,Heart & Blood Vessels
Adrenocorticotropic Hormone,mental_health,Mental Health
Adult,cancer,Cancer
Advance Care Planning,medications_drug_safety,Medications & Drug Safety
Advance Directives,medications_drug_safety,Medications & Drug Safety
Adverse Drug Reaction Reporting Systems,digestive_liver,Digestive System & Liver
Advertising as Topic,childrens_health,Children's Health
Affect,brain_nervous_system,Brain & Nervous System
Affective Symptoms,childrens_health,Children's Health
Afghanistan,emergency_critical_care,Emergency & Critical Care
Africa,womens_reproductive,Women's & Reproductive Health
Africa South of the Sahara,infections,Infections & Infectious Disease
